"input" "reason" "matches" "symbol" "organism.shortName" "length" "tairShortDescription" "tairAliases" "secondaryIdentifier" "primaryIdentifier" "tairCuratorSummary" "class" "tairComputationalDescription"
"AT4G02420" "MATCH" "1" "AT4G02420" "A. thaliana" "2458" "Concanavalin A-like lectin protein kinase family protein" "LecRK-IV.4" "locus:2133239" "AT4G02420" "NULL" "Gene" "Concanavalin A-like lectin protein kinase family protein;(source:Araport11)"
"AT3G11964" "MATCH" "1" "AT3G11964" "A. thaliana" "13013" "RNA binding;RNA binding" "RRP5" "locus:2088644" "AT3G11964" "Encodes a nucleolar protein that is a ribosome biogenesis co-factor. Mutants display aberrant RNA processing and female gametophyte development." "Gene" "RIBOSOMAL RNA PROCESSING 5;(source:Araport11)"
"AT4G02660" "MATCH" "1" "AT4G02660" "A. thaliana" "14828" "Beige/BEACH domain ;WD domain, G-beta repeat protein" "BCHA2" "locus:2132392" "AT4G02660" "NULL" "Gene" "Beige/BEACH and WD40 domain-containing protein;(source:Araport11)"
"AT5G20980" "MATCH" "1" "MS3" "A. thaliana" "5613" "methionine synthase 3" "ATMS3, MS3" "locus:2147147" "AT5G20980" "Encodes a plastidic methionine synthase, involved in methionine de novo synthesis in the chloroplast" "Gene" "methionine synthase 3;(source:Araport11)"
"AT5G16000" "MATCH" "1" "NIK1" "A. thaliana" "3355" "NSP-interacting kinase 1" "AtNIK1, NIK1" "locus:2146102" "AT5G16000" "NSP-interacting kinase (NIK1), receptor-like kinase, involved in defense response against geminivirus  It acts as a virulence target of the begomovirus nuclear shuttle protein (NSP)." "Gene" "NSP-interacting kinase 1;(source:Araport11)"
"AT5G66620" "MATCH" "1" "DAR6" "A. thaliana" "3920" "DA1-related protein 6" "DAR6" "locus:2154880" "AT5G66620" "NULL" "Gene" "DA1-related protein 6;(source:Araport11)"
"AT4G24450" "MATCH" "1" "PWD" "A. thaliana" "7748" "phosphoglucan, water dikinase" "At4g24450, ATGWD2, GWD3, PWD" "locus:2136027" "AT4G24450" "NULL" "Gene" "phosphoglucan, water dikinase;(source:Araport11)"
"AT3G44400" "MATCH" "1" "AT3G44400" "A. thaliana" "5142" "Disease resistance protein (TIR-NBS-LRR class) family" "" "locus:2100182" "AT3G44400" "NULL" "Gene" "Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)"
"AT4G11130" "MATCH" "1" "RDR2" "A. thaliana" "4184" "RNA-dependent RNA polymerase 2" "AtRDR2, RDR2, SMD1" "locus:2136068" "AT4G11130" "Encodes RNA-dependent RNA polymerase that is required for endogenous siRNA (but not miRNA) formation. Nomenclature according to Xie, et al. (2004)." "Gene" "RNA-dependent RNA polymerase 2;(source:Araport11)"
"AT5G03280" "MATCH" "1" "EIN2" "A. thaliana" "5977" "NRAMP metal ion transporter family protein" "ATEIN2, CKR1, EIN2, ERA3, ORE2, ORE3, PIR2" "locus:2142594" "AT5G03280" "Involved in ethylene signal transduction. Acts downstream of CTR1. Positively regulates ORE1 and negatively regulates mir164A,B,C to regulate leaf senescence. A maternally expressed imprinted gene. Mutations in ein2 block ethylene stimulation of flavonol synthesis. The mRNA is cell-to-cell mobile." "Gene" "NRAMP metal ion transporter family protein;(source:Araport11)"
